cell_id,Atlapetes albofrenatus,Atlapetes albofrenatus albofrenatus,Atlapetes albofrenatus meridae
836601fffffffff,140.0,13.0,0.0
836608fffffffff,312.0,4.0,0.0
836609fffffffff,6.0,0.0,0.0
83660afffffffff,6.0,0.0,0.0
83660bfffffffff,515.0,8.0,0.0
83660cfffffffff,47.0,0.0,0.0
836629fffffffff,299.0,0.0,70.0
83662bfffffffff,2.0,0.0,0.0
8366c0fffffffff,5.0,0.0,0.0
8366c4fffffffff,23.0,0.0,0.0
8366e0fffffffff,1134.0,50.0,0.0
8366e4fffffffff,276.0,6.0,0.0
8366e5fffffffff,12.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0
