cell_id,Cissa chinensis,Cissa chinensis [chinensis Group],Cissa chinensis margaritae
843c029ffffffff,2.0,2.0,0.0
843c0a5ffffffff,4.0,4.0,0.0
843c199ffffffff,33.0,0.0,0.0
843c1d3ffffffff,2.0,2.0,0.0
843c333ffffffff,2.0,0.0,0.0
843c527ffffffff,4.0,4.0,0.0
843c581ffffffff,3.0,3.0,0.0
843c5a1ffffffff,1.0,1.0,0.0
843ce03ffffffff,1.0,0.0,0.0
843ce15ffffffff,5.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843dad1ffffffff,16.0,3.0,0.0
843daddffffffff,2.0,2.0,0.0
84651c1ffffffff,6.0,0.0,0.0
84651cdffffffff,2.0,0.0,0.0
84659c1ffffffff,2.0,0.0,0.0
8465b65ffffffff,2.0,0.0,2.0
