cell_id,Dubusia taeniata,Dubusia taeniata carrikeri,Dubusia taeniata taeniata,Dubusia taeniata stictocephala
8466083ffffffff,20.0,0.0,0.0,0.0
8466089ffffffff,10.0,0.0,0.0,0.0
846608bffffffff,2.0,0.0,0.0,0.0
8466095ffffffff,15.0,0.0,0.0,0.0
846609dffffffff,32.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0
84660b1ffffffff,11.0,0.0,0.0,0.0
84660b5ffffffff,11.0,0.0,2.0,0.0
84660b7ffffffff,8.0,0.0,0.0,0.0
84660b9ffffffff,52.0,0.0,0.0,0.0
84660bbffffffff,58.0,0.0,0.0,0.0
84660bdffffffff,5.0,0.0,0.0,0.0
84660c3ffffffff,42.0,0.0,2.0,0.0
84660ddffffffff,13.0,0.0,0.0,0.0
8466181ffffffff,26.0,0.0,1.0,0.0
8466185ffffffff,1.0,0.0,0.0,0.0
8466187ffffffff,29.0,0.0,0.0,0.0
8466189ffffffff,5.0,0.0,0.0,0.0
846618bffffffff,17.0,0.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0,0.0
8466193ffffffff,1.0,0.0,0.0,0.0
8466197ffffffff,32.0,0.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0
84661bbffffffff,181.0,0.0,4.0,0.0
84661d5ffffffff,9.0,0.0,0.0,0.0
8466207ffffffff,12.0,7.0,0.0,0.0
8466217ffffffff,284.0,0.0,0.0,0.0
846622bffffffff,201.0,93.0,0.0,0.0
846623dffffffff,13.0,6.0,0.0,0.0
8466291ffffffff,5.0,0.0,0.0,0.0
8466299ffffffff,21.0,0.0,2.0,0.0
84662b1ffffffff,10.0,0.0,3.0,0.0
84662bbffffffff,2.0,0.0,0.0,0.0
84662d3ffffffff,4.0,0.0,0.0,0.0
8466c21ffffffff,5.0,0.0,0.0,0.0
8466c25ffffffff,34.0,0.0,0.0,0.0
8466c47ffffffff,5.0,0.0,0.0,0.0
8466c61ffffffff,34.0,0.0,0.0,0.0
8466c69ffffffff,18.0,0.0,0.0,0.0
8466d11ffffffff,13.0,0.0,4.0,0.0
8466d15ffffffff,2.0,0.0,0.0,0.0
8466d17ffffffff,4.0,0.0,0.0,0.0
8466d19ffffffff,3.0,0.0,0.0,0.0
8466d1dffffffff,11.0,0.0,0.0,0.0
8466d31ffffffff,362.0,0.0,71.0,0.0
8466d33ffffffff,187.0,0.0,22.0,0.0
8466d37ffffffff,24.0,0.0,0.0,0.0
8466d39ffffffff,21.0,0.0,0.0,0.0
8466d3bffffffff,16.0,0.0,0.0,0.0
8466d53ffffffff,4.0,0.0,0.0,0.0
8466d57ffffffff,2.0,0.0,0.0,0.0
8466de1ffffffff,20.0,0.0,3.0,0.0
8466de5ffffffff,63.0,0.0,19.0,0.0
8466dedffffffff,639.0,0.0,99.0,0.0
8466e01ffffffff,14.0,0.0,0.0,0.0
8466e07ffffffff,1.0,0.0,0.0,0.0
8466e09ffffffff,459.0,0.0,11.0,0.0
8466e0bffffffff,59.0,0.0,2.0,0.0
8466e0dffffffff,3.0,0.0,0.0,0.0
8466e2dffffffff,14.0,0.0,0.0,0.0
8466e41ffffffff,17.0,0.0,0.0,0.0
8466e43ffffffff,662.0,0.0,6.0,0.0
8466e47ffffffff,319.0,0.0,5.0,0.0
8466e49ffffffff,11.0,0.0,0.0,0.0
8466e4bffffffff,30.0,0.0,0.0,0.0
8466e55ffffffff,120.0,0.0,0.0,0.0
8466e5dffffffff,8.0,0.0,0.0,0.0
8466e61ffffffff,28.0,0.0,0.0,0.0
8466e65ffffffff,95.0,0.0,10.0,0.0
8466e67ffffffff,91.0,0.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0,0.0
8466e6dffffffff,1557.0,0.0,84.0,0.0
8466f19ffffffff,30.0,0.0,0.0,0.0
8466f1dffffffff,5.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0
8466f3bffffffff,3.0,0.0,0.0,0.0
8466f53ffffffff,29.0,0.0,0.0,0.0
8466f5bffffffff,39.0,0.0,0.0,0.0
84675adffffffff,15.0,0.0,0.0,0.0
848b615ffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,22.0,0.0,0.0,0.0
848b6cdffffffff,9.0,0.0,0.0,0.0
848e641ffffffff,2.0,0.0,0.0,0.0
848e649ffffffff,5.0,0.0,0.0,0.0
848e64bffffffff,4.0,0.0,0.0,0.0
848e651ffffffff,47.0,0.0,0.0,0.0
848e655ffffffff,3.0,0.0,0.0,0.0
848e6c1ffffffff,2.0,0.0,0.0,0.0
848e6d9ffffffff,2.0,0.0,0.0,0.0
848f291ffffffff,3.0,0.0,0.0,0.0
848f297ffffffff,22.0,0.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0,0.0
848f2d3ffffffff,7.0,0.0,0.0,0.0
848f2d9ffffffff,5.0,0.0,0.0,0.0
848f425ffffffff,3.0,0.0,0.0,0.0
848f42dffffffff,11.0,0.0,0.0,0.0
848f4a5ffffffff,88.0,0.0,0.0,9.0
848f4a7ffffffff,2.0,0.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0,0.0
848f509ffffffff,3.0,0.0,0.0,0.0
848f54dffffffff,17.0,0.0,0.0,0.0
848f553ffffffff,40.0,0.0,0.0,0.0
848f559ffffffff,2.0,0.0,0.0,0.0
848f55bffffffff,6.0,0.0,0.0,0.0
848f59bffffffff,5.0,0.0,0.0,0.0
848f5ddffffffff,5.0,0.0,0.0,0.0
848f721ffffffff,216.0,0.0,26.0,0.0
848f725ffffffff,1.0,0.0,1.0,0.0
848f727ffffffff,4.0,0.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0,0.0
848f72dffffffff,36.0,0.0,0.0,0.0
848f733ffffffff,3.0,0.0,0.0,0.0
848f745ffffffff,6.0,0.0,0.0,0.0
848f761ffffffff,18.0,0.0,0.0,0.0
848f767ffffffff,71.0,0.0,7.0,0.0
848f769ffffffff,22.0,0.0,0.0,0.0
848f76dffffffff,84.0,0.0,8.0,0.0
