cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
822c0ffffffffff,50.0,0.0,0.0
822c17fffffffff,7.0,0.0,0.0
822c1ffffffffff,12.0,0.0,0.0
822c37fffffffff,5.0,0.0,0.0
822c87fffffffff,60.0,0.0,0.0
822c8ffffffffff,3.0,0.0,0.0
822c9ffffffffff,12.0,0.0,0.0
822ca7fffffffff,5.0,0.0,0.0
822caffffffffff,15.0,0.0,0.0
822cc7fffffffff,32.0,0.0,0.0
822ce7fffffffff,142.0,0.0,0.0
822d17fffffffff,36.0,0.0,0.0
822da7fffffffff,381.0,9.0,0.0
822daffffffffff,276.0,0.0,0.0
822db7fffffffff,740.0,18.0,0.0
823c07fffffffff,87.0,0.0,0.0
823c17fffffffff,68.0,0.0,0.0
823c1ffffffffff,149.0,0.0,0.0
823c37fffffffff,46.0,0.0,0.0
823c57fffffffff,1.0,0.0,0.0
823c87fffffffff,1.0,0.0,0.0
823c8ffffffffff,1.0,0.0,0.0
823caffffffffff,16.0,0.0,0.0
823ce7fffffffff,133.0,0.0,0.0
823ceffffffffff,2.0,0.0,0.0
823cf7fffffffff,2.0,0.0,0.0
823d17fffffffff,1307.0,0.0,0.0
823d1ffffffffff,138.0,0.0,0.0
823d37fffffffff,194.0,0.0,0.0
823d87fffffffff,137.0,0.0,0.0
823d8ffffffffff,194.0,0.0,0.0
823da7fffffffff,1967.0,0.0,0.0
823daffffffffff,1392.0,0.0,0.0
823f4ffffffffff,226.0,24.0,0.0
824237fffffffff,9.0,0.0,0.0
82424ffffffffff,127.0,0.0,0.0
82425ffffffffff,20.0,0.0,0.0
82426ffffffffff,200.0,0.0,0.0
8242c7fffffffff,248.0,0.0,0.0
8242e7fffffffff,95.0,0.0,0.0
82431ffffffffff,61.0,0.0,0.0
824337fffffffff,2.0,0.0,0.0
824357fffffffff,12.0,0.0,0.0
8243a7fffffffff,1.0,0.0,0.0
82464ffffffffff,820.0,0.0,63.0
824f4ffffffffff,70.0,0.0,0.0
825d17fffffffff,1719.0,0.0,170.0
