cell_id,Jynx ruficollis,Jynx ruficollis ruficollis,Jynx ruficollis pulchricollis,Jynx ruficollis aequatorialis
82529ffffffffff,8.0,0.0,0.0,0.0
8258dffffffffff,3.0,0.0,0.0,0.0
826ac7fffffffff,19.0,0.0,0.0,0.0
826acffffffffff,11.0,0.0,0.0,0.0
826adffffffffff,103.0,0.0,0.0,0.0
827a47fffffffff,23.0,0.0,0.0,0.0
827a4ffffffffff,11.0,0.0,0.0,0.0
827a6ffffffffff,126.0,0.0,0.0,0.0
827acffffffffff,167.0,0.0,0.0,38.0
827aeffffffffff,5.0,0.0,0.0,0.0
8282a7fffffffff,7.0,2.0,0.0,0.0
828317fffffffff,1.0,0.0,0.0,0.0
828337fffffffff,5.0,0.0,0.0,0.0
82960ffffffffff,1.0,0.0,0.0,0.0
8296b7fffffffff,22.0,0.0,0.0,0.0
82972ffffffffff,2.0,0.0,0.0,0.0
82bc0ffffffffff,5.0,0.0,0.0,0.0
82bc1ffffffffff,17.0,0.0,0.0,0.0
82bc57fffffffff,3.0,0.0,0.0,0.0
82bc77fffffffff,18.0,3.0,0.0,0.0
82bcc7fffffffff,364.0,76.0,0.0,0.0
82bcd7fffffffff,144.0,29.0,0.0,0.0
82bcdffffffffff,9.0,3.0,0.0,0.0
82bce7fffffffff,651.0,331.0,0.0,0.0
82bceffffffffff,2.0,0.0,0.0,0.0
82bcf7fffffffff,311.0,103.0,0.0,0.0
