cell_id,Leptasthenura aegithaloides,Leptasthenura aegithaloides grisescens,Leptasthenura aegithaloides berlepschi,Leptasthenura aegithaloides aegithaloides,Leptasthenura aegithaloides pallida
82b207fffffffff,368.0,0.0,0.0,0.0,0.0
82b20ffffffffff,60.0,0.0,0.0,3.0,0.0
82b21ffffffffff,1287.0,0.0,0.0,168.0,0.0
82b227fffffffff,267.0,9.0,2.0,0.0,0.0
82b22ffffffffff,16.0,0.0,0.0,0.0,0.0
82b247fffffffff,12.0,0.0,0.0,0.0,0.0
82b257fffffffff,7.0,0.0,0.0,0.0,0.0
82b25ffffffffff,4.0,0.0,0.0,0.0,0.0
82b277fffffffff,10.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,10928.0,0.0,0.0,2010.0,0.0
82b2cffffffffff,317.0,0.0,0.0,43.0,0.0
82b2dffffffffff,601.0,0.0,0.0,60.0,0.0
82b2e7fffffffff,982.0,0.0,0.0,238.0,0.0
82b2effffffffff,215.0,0.0,0.0,0.0,0.0
82b307fffffffff,412.0,93.0,107.0,0.0,0.0
82b30ffffffffff,200.0,9.0,60.0,0.0,0.0
82b31ffffffffff,54.0,10.0,0.0,0.0,0.0
82b327fffffffff,86.0,0.0,15.0,0.0,0.0
82b32ffffffffff,19.0,0.0,0.0,0.0,0.0
82b337fffffffff,19.0,0.0,0.0,0.0,0.0
82b347fffffffff,1.0,0.0,0.0,0.0,0.0
82b357fffffffff,476.0,0.0,12.0,0.0,0.0
82b35ffffffffff,93.0,0.0,0.0,0.0,0.0
82b377fffffffff,133.0,0.0,0.0,0.0,0.0
82c2effffffffff,1.0,0.0,0.0,0.0,0.0
82c307fffffffff,20.0,0.0,0.0,0.0,0.0
82c30ffffffffff,19.0,0.0,0.0,0.0,0.0
82c327fffffffff,340.0,0.0,0.0,0.0,0.0
82c32ffffffffff,363.0,0.0,0.0,0.0,2.0
82c347fffffffff,22.0,0.0,0.0,0.0,0.0
82c357fffffffff,88.0,0.0,0.0,0.0,0.0
82c367fffffffff,127.0,0.0,0.0,0.0,0.0
82c36ffffffffff,24.0,0.0,0.0,0.0,0.0
82c377fffffffff,93.0,0.0,0.0,0.0,0.0
82ce17fffffffff,11.0,0.0,0.0,0.0,0.0
82ce87fffffffff,750.0,0.0,0.0,7.0,94.0
82ce8ffffffffff,763.0,0.0,0.0,45.0,0.0
82ce97fffffffff,352.0,0.0,0.0,0.0,1.0
82ce9ffffffffff,635.0,0.0,0.0,20.0,8.0
82cea7fffffffff,144.0,0.0,0.0,4.0,0.0
82ceaffffffffff,1095.0,0.0,0.0,89.0,0.0
82ceb7fffffffff,6.0,0.0,0.0,0.0,0.0
82cf17fffffffff,102.0,0.0,0.0,0.0,6.0
82cf87fffffffff,47.0,0.0,0.0,0.0,0.0
82cf8ffffffffff,167.0,0.0,0.0,2.0,18.0
82cf97fffffffff,78.0,0.0,0.0,0.0,0.0
82cf9ffffffffff,72.0,0.0,0.0,0.0,0.0
82cfa7fffffffff,390.0,0.0,0.0,0.0,2.0
82cfaffffffffff,172.0,0.0,0.0,0.0,0.0
82cfb7fffffffff,34.0,0.0,0.0,0.0,0.0
82df4ffffffffff,17.0,0.0,0.0,0.0,0.0
82df6ffffffffff,160.0,0.0,0.0,0.0,17.0
