cell_id,Macropygia doreya,Macropygia doreya [albicapilla Group],Macropygia doreya [doreya Group]
8268c7fffffffff,17.0,1.0,0.0
8268cffffffffff,430.0,131.0,0.0
8268d7fffffffff,273.0,70.0,0.0
8268dffffffffff,64.0,53.0,0.0
82728ffffffffff,14.0,0.0,0.0
8272a7fffffffff,61.0,0.0,11.0
8272b7fffffffff,1.0,0.0,0.0
8272f7fffffffff,27.0,0.0,0.0
827397fffffffff,301.0,0.0,47.0
82739ffffffffff,247.0,0.0,25.0
8273b7fffffffff,14.0,5.0,0.0
829507fffffffff,51.0,40.0,0.0
82950ffffffffff,9.0,8.0,0.0
82952ffffffffff,5.0,3.0,0.0
829567fffffffff,30.0,1.0,0.0
82956ffffffffff,131.0,0.0,3.0
