cell_id,Megascops roraimae,Megascops roraimae roraimae,Megascops roraimae [napensis Group]
825f07fffffffff,56.0,0.0,0.0
825f17fffffffff,6.0,1.0,0.0
825f77fffffffff,20.0,8.0,0.0
82660ffffffffff,1.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0
82666ffffffffff,3.0,0.0,0.0
8266c7fffffffff,15.0,0.0,7.0
8266d7fffffffff,100.0,0.0,35.0
8266dffffffffff,340.0,0.0,116.0
826747fffffffff,95.0,0.0,3.0
82674ffffffffff,9.0,0.0,0.0
82675ffffffffff,16.0,0.0,0.0
828b67fffffffff,1.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0
828f47fffffffff,145.0,0.0,21.0
828f4ffffffffff,5.0,0.0,0.0
828f5ffffffffff,11.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0
