cell_id,Pachyglossa agilis,Pachyglossa agilis agilis/zeylonica,Pachyglossa agilis [obsoleta Group],Pachyglossa agilis [aeruginosa Group]
833c02fffffffff,1.0,0.0,0.0,0.0
833c1cfffffffff,4.0,0.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0,0.0
833c80fffffffff,2.0,0.0,0.0,0.0
833c8dfffffffff,14.0,0.0,0.0,0.0
833c8efffffffff,3.0,0.0,0.0,0.0
833c90fffffffff,2.0,0.0,0.0,0.0
833ca8fffffffff,10.0,0.0,0.0,0.0
833cabfffffffff,58.0,3.0,0.0,0.0
833cf2fffffffff,2.0,0.0,0.0,0.0
833cf6fffffffff,3.0,0.0,0.0,0.0
833d10fffffffff,13.0,0.0,0.0,0.0
833d13fffffffff,2.0,0.0,0.0,0.0
833d9bfffffffff,3.0,0.0,0.0,0.0
833da1fffffffff,6.0,0.0,0.0,0.0
833dadfffffffff,4.0,0.0,0.0,0.0
833db1fffffffff,3.0,0.0,0.0,0.0
833db2fffffffff,2.0,0.0,0.0,0.0
833db6fffffffff,28.0,0.0,0.0,0.0
83416afffffffff,3.0,0.0,0.0,0.0
8342c2fffffffff,1.0,0.0,0.0,0.0
8342c3fffffffff,2.0,0.0,0.0,0.0
8342ccfffffffff,4.0,0.0,0.0,0.0
8342cdfffffffff,13.0,0.0,0.0,0.0
8342dbfffffffff,1.0,0.0,0.0,0.0
8342dcfffffffff,4.0,2.0,0.0,0.0
8342ddfffffffff,9.0,0.0,0.0,0.0
8342ebfffffffff,8.0,0.0,0.0,0.0
836002fffffffff,16.0,0.0,0.0,0.0
836006fffffffff,15.0,0.0,0.0,0.0
836011fffffffff,11.0,2.0,0.0,0.0
836013fffffffff,2.0,0.0,0.0,0.0
836014fffffffff,193.0,8.0,0.0,0.0
836015fffffffff,13.0,0.0,0.0,0.0
836016fffffffff,61.0,4.0,0.0,0.0
836026fffffffff,2.0,0.0,0.0,0.0
836031fffffffff,297.0,4.0,0.0,0.0
836032fffffffff,1.0,0.0,0.0,0.0
836033fffffffff,407.0,0.0,0.0,0.0
836035fffffffff,14.0,0.0,0.0,0.0
836084fffffffff,2.0,0.0,0.0,0.0
836088fffffffff,6.0,0.0,0.0,0.0
83608bfffffffff,2.0,1.0,0.0,0.0
836098fffffffff,2.0,2.0,0.0,0.0
8360a2fffffffff,21.0,0.0,0.0,0.0
8360a6fffffffff,17.0,0.0,0.0,0.0
8360a8fffffffff,22.0,0.0,0.0,0.0
8360a9fffffffff,55.0,4.0,0.0,0.0
8360abfffffffff,1.0,0.0,0.0,0.0
8360adfffffffff,8.0,0.0,0.0,0.0
836188fffffffff,2.0,0.0,0.0,0.0
836189fffffffff,4.0,0.0,0.0,0.0
83618afffffffff,6.0,0.0,0.0,0.0
83618bfffffffff,1.0,0.0,0.0,0.0
836431fffffffff,8.0,0.0,3.0,0.0
836434fffffffff,11.0,0.0,4.0,0.0
8364a1fffffffff,2.0,0.0,2.0,0.0
836500fffffffff,4.0,0.0,0.0,0.0
836502fffffffff,6.0,0.0,0.0,0.0
836509fffffffff,1.0,0.0,0.0,0.0
836518fffffffff,16.0,0.0,2.0,0.0
83651bfffffffff,9.0,0.0,1.0,0.0
83651cfffffffff,1.0,0.0,0.0,0.0
83651dfffffffff,2.0,0.0,0.0,0.0
836520fffffffff,11.0,0.0,0.0,0.0
836526fffffffff,4.0,0.0,0.0,0.0
8365b2fffffffff,2.0,0.0,0.0,0.0
836802fffffffff,3.0,0.0,0.0,0.0
836818fffffffff,1.0,0.0,0.0,0.0
83681afffffffff,2.0,0.0,0.0,0.0
83684efffffffff,1.0,0.0,0.0,1.0
83694efffffffff,4.0,0.0,0.0,4.0
838db5fffffffff,1.0,0.0,0.0,0.0
839553fffffffff,2.0,0.0,0.0,0.0
