cell_id,Ramphocelus passerinii,Ramphocelus passerinii passerinii,Ramphocelus passerinii costaricensis
834505fffffffff,8.0,6.0,0.0
834520fffffffff,116.0,37.0,0.0
834521fffffffff,557.0,168.0,0.0
834522fffffffff,723.0,425.0,0.0
834523fffffffff,1050.0,673.0,0.0
834525fffffffff,31.0,14.0,0.0
834526fffffffff,531.0,282.0,0.0
83452cfffffffff,45.0,36.0,0.0
83452dfffffffff,57.0,44.0,0.0
83452efffffffff,759.0,355.0,0.0
834530fffffffff,44.0,24.0,0.0
834531fffffffff,14.0,10.0,0.0
834532fffffffff,202.0,29.0,0.0
834534fffffffff,47.0,46.0,0.0
834535fffffffff,3.0,0.0,0.0
834536fffffffff,254.0,199.0,0.0
8366a2fffffffff,27.0,2.0,16.0
8366a6fffffffff,627.0,448.0,0.0
8366b0fffffffff,3840.0,0.0,1141.0
8366b1fffffffff,67.0,0.0,31.0
8366b4fffffffff,15946.0,3653.0,480.0
8366b5fffffffff,11742.0,908.0,3461.0
8366b6fffffffff,615.0,0.0,193.0
836790fffffffff,86.0,55.0,0.0
836791fffffffff,10.0,8.0,0.0
836792fffffffff,43.0,16.0,0.0
836793fffffffff,68.0,43.0,0.0
836794fffffffff,96.0,25.0,0.0
836796fffffffff,200.0,45.0,0.0
83679afffffffff,8155.0,1801.0,0.0
83679bfffffffff,2651.0,938.0,0.0
8367b2fffffffff,3.0,2.0,0.0
836d20fffffffff,21.0,14.0,0.0
836d21fffffffff,205.0,117.0,0.0
836d22fffffffff,8.0,4.0,0.0
836d23fffffffff,3.0,2.0,0.0
836d25fffffffff,3.0,3.0,0.0
836d26fffffffff,4.0,4.0,0.0
836d2cfffffffff,581.0,352.0,0.0
836d2dfffffffff,303.0,222.0,0.0
836d2efffffffff,1.0,0.0,0.0
836d30fffffffff,5.0,2.0,0.0
836d31fffffffff,36.0,35.0,0.0
836d60fffffffff,2.0,0.0,0.0
836d61fffffffff,4.0,1.0,0.0
836d64fffffffff,4.0,0.0,0.0
836d65fffffffff,1626.0,583.0,0.0
836d68fffffffff,3678.0,1019.0,0.0
836d69fffffffff,28013.0,7658.0,1356.0
836d6cfffffffff,23.0,4.0,0.0
836d6dfffffffff,5110.0,1898.0,0.0
