cell_id,Sula brewsteri,Sula brewsteri brewsteri,Sula brewsteri etesiaca
832835fffffffff,3016.0,125.0,0.0
832912fffffffff,130.0,0.0,0.0
832916fffffffff,20.0,0.0,0.0
8329a4fffffffff,3121.0,90.0,0.0
8329a5fffffffff,59.0,0.0,0.0
834801fffffffff,23.0,0.0,0.0
834805fffffffff,33.0,1.0,0.0
834806fffffffff,16.0,0.0,0.0
834809fffffffff,154.0,0.0,0.0
83480bfffffffff,3.0,0.0,0.0
83480cfffffffff,11.0,0.0,0.0
83480dfffffffff,149.0,5.0,0.0
83480efffffffff,7.0,0.0,0.0
834822fffffffff,3.0,1.0,0.0
834823fffffffff,132.0,0.0,0.0
834828fffffffff,14.0,0.0,0.0
834829fffffffff,1.0,0.0,0.0
83482afffffffff,208.0,5.0,0.0
83482bfffffffff,15.0,0.0,0.0
83482dfffffffff,2.0,0.0,0.0
83482efffffffff,5.0,0.0,0.0
834830fffffffff,113.0,26.0,0.0
834831fffffffff,5.0,0.0,0.0
834833fffffffff,219.0,0.0,0.0
834834fffffffff,41.0,2.0,0.0
834835fffffffff,1.0,0.0,0.0
834836fffffffff,357.0,25.0,0.0
834840fffffffff,3.0,0.0,0.0
834842fffffffff,1.0,0.0,0.0
834843fffffffff,6.0,0.0,0.0
834844fffffffff,5.0,0.0,0.0
834846fffffffff,12.0,0.0,0.0
83484afffffffff,50.0,1.0,0.0
83484efffffffff,1.0,0.0,0.0
834850fffffffff,22.0,0.0,0.0
834851fffffffff,27.0,0.0,0.0
834853fffffffff,2.0,0.0,0.0
834854fffffffff,81.0,0.0,0.0
834855fffffffff,62.0,1.0,0.0
834856fffffffff,118.0,1.0,0.0
834858fffffffff,5.0,0.0,0.0
83485cfffffffff,21.0,1.0,0.0
83485efffffffff,203.0,8.0,0.0
834866fffffffff,2.0,0.0,0.0
83486afffffffff,7.0,0.0,0.0
834870fffffffff,3.0,0.0,0.0
834871fffffffff,13.0,0.0,0.0
834872fffffffff,28.0,0.0,0.0
834874fffffffff,1.0,0.0,0.0
834908fffffffff,58.0,6.0,0.0
834909fffffffff,8.0,0.0,0.0
83490afffffffff,1.0,1.0,0.0
83490bfffffffff,7.0,0.0,0.0
83490dfffffffff,4.0,1.0,0.0
834913fffffffff,3.0,0.0,0.0
834918fffffffff,1.0,0.0,0.0
83491bfffffffff,7.0,0.0,0.0
83491dfffffffff,2.0,0.0,0.0
83491efffffffff,2.0,1.0,0.0
834954fffffffff,4.0,0.0,0.0
834955fffffffff,1.0,0.0,0.0
834970fffffffff,2.0,0.0,0.0
834971fffffffff,21.0,4.0,0.0
8349a0fffffffff,7.0,0.0,0.0
8349a1fffffffff,4.0,0.0,0.0
8349a2fffffffff,148.0,0.0,0.0
8349a3fffffffff,2.0,0.0,0.0
8349a5fffffffff,1.0,0.0,0.0
8349a8fffffffff,95.0,8.0,0.0
8349a9fffffffff,462.0,43.0,0.0
8349acfffffffff,13.0,0.0,0.0
8349adfffffffff,55.0,1.0,0.0
8349b4fffffffff,2.0,0.0,0.0
8349b5fffffffff,12.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0
836612fffffffff,6.0,0.0,0.0
836613fffffffff,7.0,0.0,0.0
83661afffffffff,116.0,0.0,2.0
836682fffffffff,5.0,0.0,0.0
836684fffffffff,122.0,0.0,0.0
836685fffffffff,8.0,0.0,0.0
836686fffffffff,2.0,0.0,0.0
83668afffffffff,2.0,0.0,0.0
83668cfffffffff,3.0,0.0,0.0
83668efffffffff,1.0,0.0,0.0
836691fffffffff,11.0,0.0,0.0
836692fffffffff,2.0,0.0,0.0
836695fffffffff,3.0,0.0,0.0
836696fffffffff,16.0,0.0,0.0
8366a1fffffffff,192.0,0.0,0.0
8366a2fffffffff,207.0,0.0,0.0
8366a3fffffffff,157.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0
8366a8fffffffff,1.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0
8366aafffffffff,1.0,0.0,0.0
8366acfffffffff,6.0,0.0,0.0
8366aefffffffff,58.0,0.0,0.0
8366b0fffffffff,899.0,48.0,0.0
8366b1fffffffff,36.0,0.0,0.0
8366b2fffffffff,1.0,0.0,0.0
8366b3fffffffff,4.0,0.0,0.0
8366b4fffffffff,206.0,6.0,0.0
8366b5fffffffff,14.0,0.0,0.0
8366b6fffffffff,698.0,47.0,0.0
8366d4fffffffff,50.0,0.0,13.0
8366d6fffffffff,22.0,0.0,11.0
8366f0fffffffff,3.0,0.0,0.0
8366f2fffffffff,8.0,0.0,0.0
836c44fffffffff,2.0,0.0,0.0
836c61fffffffff,292.0,0.0,0.0
836c62fffffffff,1.0,0.0,0.0
836c65fffffffff,62.0,0.0,0.0
836d00fffffffff,2.0,0.0,0.0
836d01fffffffff,2.0,0.0,0.0
836d03fffffffff,1.0,0.0,0.0
836d04fffffffff,5.0,0.0,0.0
836d06fffffffff,23.0,0.0,0.0
836d10fffffffff,2.0,0.0,0.0
836d12fffffffff,2.0,0.0,0.0
836d14fffffffff,8.0,0.0,0.0
836d15fffffffff,364.0,2.0,0.0
836d1cfffffffff,3.0,0.0,0.0
836d1efffffffff,1.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d40fffffffff,2.0,0.0,0.0
836d42fffffffff,2.0,0.0,0.0
836d44fffffffff,1.0,0.0,0.0
836d45fffffffff,5.0,0.0,0.0
836d46fffffffff,3.0,0.0,0.0
836d49fffffffff,82.0,0.0,0.0
836d4bfffffffff,11.0,0.0,0.0
836d4dfffffffff,59.0,0.0,0.0
836d54fffffffff,1.0,0.0,0.0
836d55fffffffff,3.0,0.0,0.0
836d60fffffffff,3.0,0.0,0.0
836d63fffffffff,2.0,0.0,0.0
836d66fffffffff,21.0,0.0,0.0
836d68fffffffff,260.0,15.0,0.0
836d69fffffffff,494.0,30.0,0.0
836d6afffffffff,38.0,0.0,0.0
836d6bfffffffff,741.0,74.0,0.0
836d6efffffffff,8.0,0.0,0.0
836d70fffffffff,46.0,0.0,0.0
836d71fffffffff,1.0,0.0,0.0
836d74fffffffff,78.0,0.0,0.0
836d75fffffffff,19.0,0.0,0.0
836d76fffffffff,4.0,0.0,0.0
836dadfffffffff,2.0,0.0,0.0
838f24fffffffff,3.0,0.0,0.0
