cell_id,Tropicoperdix chloropus,Tropicoperdix chloropus tonkinensis,Tropicoperdix chloropus [chloropus Group]
824067fffffffff,12.0,0.0,0.0
824147fffffffff,43.0,19.0,0.0
82414ffffffffff,1.0,0.0,0.0
824167fffffffff,6.0,0.0,2.0
82416ffffffffff,13.0,3.0,0.0
826417fffffffff,708.0,0.0,192.0
826487fffffffff,44.0,0.0,14.0
826497fffffffff,57.0,0.0,19.0
8264a7fffffffff,27.0,0.0,3.0
8264b7fffffffff,33.0,0.0,9.0
826587fffffffff,49.0,0.0,0.0
82658ffffffffff,70.0,0.0,9.0
826597fffffffff,47.0,0.0,0.0
82659ffffffffff,453.0,0.0,86.0
8265b7fffffffff,415.0,0.0,73.0
