cell_id,Turdus falcklandii,Turdus falcklandii magellanicus/pembertoni,Turdus falcklandii falcklandii
82b207fffffffff,335.0,0.0,0.0
82b20ffffffffff,74.0,0.0,0.0
82b21ffffffffff,1408.0,0.0,0.0
82b2c7fffffffff,21214.0,815.0,0.0
82b2cffffffffff,912.0,0.0,0.0
82b2dffffffffff,2125.0,0.0,0.0
82b2e7fffffffff,1192.0,0.0,0.0
82b2effffffffff,34.0,0.0,0.0
82c207fffffffff,16.0,0.0,0.0
82c21ffffffffff,4.0,0.0,0.0
82c227fffffffff,11.0,0.0,0.0
82c22ffffffffff,25.0,0.0,0.0
82c307fffffffff,2.0,0.0,0.0
82c30ffffffffff,47.0,0.0,0.0
82c327fffffffff,195.0,0.0,0.0
82c32ffffffffff,663.0,0.0,0.0
82c347fffffffff,1.0,0.0,0.0
82c357fffffffff,122.0,0.0,0.0
82c367fffffffff,215.0,0.0,0.0
82c36ffffffffff,5.0,0.0,0.0
82c377fffffffff,236.0,0.0,0.0
82ce17fffffffff,54.0,1.0,0.0
82ce87fffffffff,3721.0,5.0,0.0
82ce8ffffffffff,3711.0,0.0,0.0
82ce97fffffffff,1587.0,0.0,0.0
82ce9ffffffffff,1739.0,0.0,0.0
82cea7fffffffff,2809.0,3.0,0.0
82ceaffffffffff,6614.0,406.0,0.0
82ceb7fffffffff,6.0,0.0,0.0
82cedffffffffff,14.0,0.0,0.0
82cf17fffffffff,1829.0,387.0,0.0
82cf87fffffffff,80.0,3.0,0.0
82cf8ffffffffff,1129.0,19.0,0.0
82cf97fffffffff,73.0,0.0,0.0
82cf9ffffffffff,186.0,0.0,0.0
82cfa7fffffffff,1235.0,46.0,0.0
82cfaffffffffff,789.0,34.0,0.0
82cfb7fffffffff,20.0,0.0,0.0
82de67fffffffff,291.0,0.0,71.0
82de77fffffffff,535.0,0.0,73.0
82df47fffffffff,2256.0,338.0,0.0
82df4ffffffffff,31.0,0.0,0.0
82df5ffffffffff,5.0,0.0,0.0
82df6ffffffffff,2832.0,641.0,0.0
